City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
North Bend,43.41,-124.22,59.0,82,1,8.05,US,1603246000
Mattawa,46.74,-119.9,57.2,76,40,5.82,US,1603246149
Kaitangata,-46.28,169.85,56.82,47,57,2.66,NZ,1603246149
Cherskiy,68.75,161.3,23.02,97,97,4.41,RU,1603246149
Saskylakh,71.92,114.08,19.78,97,91,8.52,RU,1603246150
New Norfolk,-42.78,147.06,66.99,52,96,1.99,AU,1603246150
Tasiilaq,65.61,-37.64,32.0,96,100,23.04,GL,1603245980
Rikitea,-23.12,-134.97,74.08,75,24,9.31,PF,1603246150
Qaanaaq,77.48,-69.36,20.41,82,37,6.17,GL,1603246150
Denpasar,-8.65,115.22,87.8,79,40,8.05,ID,1603246151
Upernavik,72.79,-56.15,32.74,92,100,2.86,GL,1603246151
Matagami,49.75,-77.63,26.6,100,1,2.24,CA,1603246151
Nantucket,41.28,-70.1,64.0,93,90,6.93,US,1603246152
Campeche,19.0,-90.5,74.17,97,0,2.26,MX,1603246152
Nelson Bay,-32.72,152.15,75.2,53,20,18.34,AU,1603246152
Cape Town,-33.93,18.42,50.0,87,0,2.24,ZA,1603246006
Puerto Ayora,-0.74,-90.35,69.01,94,94,7.0,EC,1603245964
Nome,64.5,-165.41,41.0,80,40,6.93,US,1603245981
Sorong,-0.88,131.25,84.6,69,49,4.85,ID,1603246153
São Félix do Xingu,-6.64,-51.99,75.52,74,40,1.1,BR,1603246153
Domoni,-12.26,44.53,77.47,74,62,4.61,KM,1603246153
Busselton,-33.65,115.33,71.01,39,0,6.29,AU,1603246153
Yar-Sale,66.83,70.83,25.3,98,100,3.8,RU,1603246154
Umluj,25.02,37.27,80.44,34,0,4.41,SA,1603246154
Atuona,-9.8,-139.03,77.97,75,79,15.12,PF,1603246154
Karratha,-20.74,116.85,87.21,28,71,11.7,AU,1603246154
Kapaa,22.08,-159.32,82.0,78,90,4.7,US,1603245969
Denton,33.2,-97.13,80.01,57,1,8.05,US,1603246155
Hermanus,-34.42,19.23,51.01,85,0,3.0,ZA,1603246155
Ushuaia,-54.8,-68.3,41.0,75,75,5.82,AR,1603246155
Wanning,18.8,110.4,74.91,80,80,16.17,CN,1603246156
Albany,42.6,-73.97,55.99,84,100,1.01,US,1603246156
Chokurdakh,70.63,147.92,9.68,96,70,4.83,RU,1603246156
Teahupoo,-17.83,-149.27,84.2,70,20,14.99,PF,1603246156
Pouembout,-21.13,164.9,78.69,59,66,5.3,NC,1603246156
Parker,32.77,-97.8,77.0,70,0,1.99,US,1603245755
Punta Arenas,-53.15,-70.92,41.0,68,75,6.93,CL,1603245916
Tuktoyaktuk,69.45,-133.04,23.0,92,90,16.11,CA,1603246157
Grua,60.27,10.67,44.01,100,90,2.24,NO,1603246157
Yerbogachën,61.28,108.01,21.97,94,100,9.6,RU,1603246157
El Reno,35.53,-97.95,64.4,88,40,12.75,US,1603246158
Vaini,-21.2,-175.2,77.0,69,75,10.29,TO,1603246158
Yulara,-25.24,130.99,89.6,31,0,5.82,AU,1603246158
Sittwe,20.15,92.9,81.3,81,57,9.44,MM,1603246159
Shanhecun,44.7,127.2,58.51,47,100,22.12,CN,1603246159
Vavatenina,-17.47,49.2,65.71,94,22,2.66,MG,1603246159
Saldanha,-33.01,17.94,44.6,81,0,5.82,ZA,1603246159
Bluff,-46.6,168.33,57.0,59,50,11.01,NZ,1603246159
Saint Paul Harbor,57.79,-152.41,48.2,42,1,16.11,US,1603246160
Sørland,67.67,12.69,37.4,64,40,4.7,NO,1603245941
Provideniya,64.38,-173.3,44.6,87,90,13.42,RU,1603245972
Arraial do Cabo,-22.97,-42.03,72.46,85,0,20.71,BR,1603246160
Mataura,-46.19,168.86,57.0,59,17,11.01,NZ,1603246160
Saint-Philippe,-21.36,55.77,69.01,56,15,4.7,RE,1603245986
Lüderitz,-26.65,15.16,62.06,47,0,15.23,NA,1603246161
Bubaque,11.28,-15.83,81.55,83,11,12.62,GW,1603246161
Port Alfred,-33.59,26.89,55.51,76,0,7.81,ZA,1603246161
Carnarvon,-24.87,113.63,71.6,64,75,20.8,AU,1603246162
Whitehorse,60.72,-135.05,23.0,53,75,6.93,CA,1603246162
Ponta Delgada,37.73,-25.67,59.0,72,40,11.41,PT,1603246162
Torbay,47.67,-52.73,57.99,93,90,19.46,CA,1603246163
Le Port,-20.94,55.29,71.6,64,13,12.75,RE,1603246163
Les Escoumins,48.11,-69.02,34.11,91,100,4.38,CA,1603246163
Mahébourg,-20.41,57.7,73.4,78,40,12.75,MU,1603246163
Pacific Grove,36.62,-121.92,63.0,87,1,3.36,US,1603246163
